2020-09-24T18:34:47.336,7607,1975,17238,10678
2020-09-25T12:43:26.620,2397,1745,20294,11502
2020-09-25T12:47:53.042,2110,1643,18007,10807
2020-09-25T12:54:15.769,2061,1904,18449,10776
2020-09-25T12:56:38.993,1897,1951,17655,11217
2020-09-25T13:11:40.763,2027,1667,17640,10810
2020-09-25T13:16:10.196,2246,2101,17743,11974
2020-09-25T13:20:48.639,2196,3532,18494,11157
2020-09-25T13:25:34.619,2307,1655,18774,12949
2020-09-25T13:30:07.264,2958,1752,19732,11603
2020-09-25T15:30:37.860,2035,1988,17484,11284
